"season","batsman","phase","runs","balls_faced","dot_balls","strike_rate","norm_runs","norm_strike_rate","norm_dot_balls","clutch_score"
2014,"DA Warner","Death",146,71,9,205.63,0.342723004694836,0.514075,0.0789473684210526,0.4034
2014,"DA Warner","Middle",260,219,68,118.72,0.610328638497653,0.2968,0.596491228070175,0.3015
2014,"DA Warner","Powerplay",122,96,33,127.08,0.286384976525822,0.3177,0.289473684210526,0.2476
2014,"DH Yagnik","Death",4,6,1,66.67,0.00938967136150235,0.166675,0.0087719298245614,0.1019
2014,"DJ Bravo","Death",8,3,0,266.67,0.0187793427230047,0.666675,0,0.4056
2014,"DJ Hussey","Death",48,23,5,208.7,0.112676056338028,0.52175,0.043859649122807,0.3425
2014,"DJ Hussey","Middle",67,68,24,98.53,0.157276995305164,0.246325,0.210526315789474,0.1739
2014,"DJ Hussey","Powerplay",1,5,4,20,0.00234741784037559,0.05,0.0350877192982456,0.0272
2014,"DJG Sammy","Death",68,59,20,115.25,0.15962441314554,0.288125,0.175438596491228,0.2032
2014,"DJG Sammy","Middle",40,38,17,105.26,0.0938967136150235,0.26315,0.149122807017544,0.1711
2014,"DR Smith","Death",33,20,7,165,0.0774647887323944,0.4125,0.0614035087719298,0.2646
2014,"DR Smith","Middle",197,141,49,139.72,0.462441314553991,0.3493,0.429824561403509,0.3053
2014,"DR Smith","Powerplay",336,264,114,127.27,0.788732394366197,0.318175,1,0.3275
2014,"DS Kulkarni","Death",34,24,4,141.67,0.07981220657277,0.354175,0.0350877192982456,0.2329
2014,"DS Kulkarni","Middle",1,3,2,33.33,0.00234741784037559,0.083325,0.0175438596491228,0.0489
2014,"DW Steyn","Death",20,23,9,86.96,0.0469483568075117,0.2174,0.0789473684210526,0.1366
2014,"DW Steyn","Middle",2,3,1,66.67,0.00469483568075117,0.166675,0.0087719298245614,0.1005
2014,"F du Plessis","Death",78,48,9,162.5,0.183098591549296,0.40625,0.0789473684210526,0.2908
2014,"F du Plessis","Middle",139,139,36,100,0.326291079812207,0.25,0.315789473684211,0.2163
2014,"F du Plessis","Powerplay",86,53,20,162.26,0.2018779342723,0.40565,0.175438596491228,0.2864
2014,"G Gambhir","Death",29,18,4,161.11,0.068075117370892,0.402775,0.0350877192982456,0.2586
2014,"G Gambhir","Middle",139,111,24,125.23,0.326291079812207,0.313075,0.210526315789474,0.2647
2014,"G Gambhir","Powerplay",167,172,79,97.09,0.392018779342723,0.242725,0.692982456140351,0.1939
2014,"GJ Bailey","Death",208,120,23,173.33,0.488262910798122,0.433325,0.201754385964912,0.3863
2014,"GJ Bailey","Middle",48,68,33,70.59,0.112676056338028,0.176475,0.289473684210526,0.1107
2014,"GJ Bailey","Powerplay",1,2,1,50,0.00234741784037559,0.125,0.0087719298245614,0.0748
2014,"GJ Maxwell","Death",57,29,10,196.55,0.133802816901408,0.491375,0.087719298245614,0.3262
2014,"GJ Maxwell","Middle",426,237,54,179.75,1,0.449375,0.473684210526316,0.5223
2014,"GJ Maxwell","Powerplay",69,46,12,150,0.161971830985915,0.375,0.105263157894737,0.2631
2014,"HV Patel","Death",13,7,3,185.71,0.0305164319248826,0.464275,0.0263157894736842,0.2851
2014,"Harbhajan Singh","Death",28,26,13,107.69,0.0657276995305164,0.269225,0.114035087719298,0.1698
2014,"IK Pathan","Death",42,38,12,110.53,0.0985915492957746,0.276325,0.105263157894737,0.1848
2014,"IK Pathan","Middle",13,20,6,65,0.0305164319248826,0.1625,0.0526315789473684,0.1014
2014,"Imran Tahir","Death",4,4,3,100,0.00938967136150235,0.25,0.0263157894736842,0.1502
2014,"Imran Tahir","Middle",4,6,5,66.67,0.00938967136150235,0.166675,0.043859649122807,0.0984
2014,"JA Morkel","Death",7,6,0,116.67,0.0164319248826291,0.291675,0,0.1799
2014,"JA Morkel","Middle",34,32,16,106.25,0.07981220657277,0.265625,0.140350877192982,0.1693
2014,"JA Morkel","Powerplay",4,3,1,133.33,0.00938967136150235,0.333325,0.0087719298245614,0.2019
2014,"JD Unadkat","Death",1,2,1,50,0.00234741784037559,0.125,0.0087719298245614,0.0748
2014,"JD Unadkat","Middle",0,4,4,0,0,0,0.0350877192982456,-0.0035
2014,"JDS Neesham","Death",13,21,14,61.9,0.0305164319248826,0.15475,0.12280701754386,0.0897
2014,"JDS Neesham","Middle",29,25,10,116,0.068075117370892,0.29,0.087719298245614,0.1857
2014,"JH Kallis","Death",28,16,6,175,0.0657276995305164,0.4375,0.0526315789473684,0.277
2014,"JH Kallis","Middle",82,64,17,128.12,0.192488262910798,0.3203,0.149122807017544,0.235
2014,"JH Kallis","Powerplay",41,51,27,80.39,0.0962441314553991,0.200975,0.236842105263158,0.1258
2014,"JJ Bumrah","Death",1,4,2,25,0.00234741784037559,0.0625,0.0175438596491228,0.0364
2014,"JO Holder","Death",16,12,7,133.33,0.0375586854460094,0.333325,0.0614035087719298,0.2051
2014,"JP Duminy","Death",219,112,17,195.54,0.514084507042254,0.48885,0.149122807017544,0.4326
2014,"JP Duminy","Middle",181,181,51,100,0.424882629107981,0.25,0.447368421052632,0.2327
2014,"JP Duminy","Powerplay",10,18,12,55.56,0.0234741784037559,0.1389,0.105263157894737,0.0799
2014,"JP Faulkner","Death",169,86,17,196.51,0.396713615023474,0.491275,0.149122807017544,0.3989
2014,"JP Faulkner","Middle",12,13,5,92.31,0.028169014084507,0.230775,0.043859649122807,0.1425
2014,"KA Pollard","Death",173,119,32,145.38,0.406103286384977,0.36345,0.280701754385965,0.3118
2014,"KA Pollard","Middle",92,85,33,108.24,0.215962441314554,0.2706,0.289473684210526,0.1982
2014,"KA Pollard","Powerplay",8,4,1,200,0.0187793427230047,0.5,0.0087719298245614,0.3048
2014,"KD Karthik","Death",30,23,8,130.43,0.0704225352112676,0.326075,0.0701754385964912,0.2098
2014,"KD Karthik","Middle",231,180,56,128.33,0.542253521126761,0.320825,0.491228070175439,0.306
2014,"KD Karthik","Powerplay",64,58,26,110.34,0.150234741784038,0.27585,0.228070175438596,0.1878
2014,"KK Cooper","Death",2,2,1,100,0.00469483568075117,0.25,0.0087719298245614,0.1505
2014,"KK Cooper","Middle",30,24,9,125,0.0704225352112676,0.3125,0.0789473684210526,0.2007
2014,"KK Cooper","Powerplay",7,2,0,350,0.0164319248826291,0.875,0,0.5299
2014,"KK Nair","Death",25,11,2,227.27,0.0586854460093897,0.568175,0.0175438596491228,0.3568
2014,"KK Nair","Middle",169,115,35,146.96,0.396713615023474,0.3674,0.307017543859649,0.3088
