"season","bowler","phase","runs_conceded","balls_bowled","wickets","dot_balls","economy","norm_wickets","norm_dot_balls","norm_economy","clutch_score"
2014,"Harbhajan Singh","Powerplay",49,48,2,27,6.12,0.125,0.238938053097345,0.208979591836735,0.1258
2014,"I Sharma","Death",4,6,1,3,4,0.0625,0.0265486725663717,0.122448979591837,0.0332
2014,"I Sharma","Middle",72,49,2,18,8.82,0.125,0.15929203539823,0.319183673469388,0.0909
2014,"I Sharma","Powerplay",25,13,0,5,11.54,0,0.0442477876106195,0.430204081632653,-0.0297
2014,"IC Pandey","Death",42,26,1,5,9.69,0.0625,0.0442477876106195,0.35469387755102,0.0153
2014,"IC Pandey","Middle",113,84,3,28,8.07,0.1875,0.247787610619469,0.288571428571429,0.158
2014,"IC Pandey","Powerplay",176,145,3,79,7.28,0.1875,0.699115044247788,0.256326530612245,0.2966
2014,"IK Pathan","Death",63,53,5,16,7.13,0.3125,0.141592920353982,0.250204081632653,0.205
2014,"IK Pathan","Middle",114,79,1,21,8.66,0.0625,0.185840707964602,0.31265306122449,0.062
2014,"IK Pathan","Powerplay",32,12,0,4,16,0,0.0353982300884956,0.612244897959184,-0.0506
2014,"Imran Tahir","Death",41,36,6,15,6.83,0.375,0.132743362831858,0.237959183673469,0.241
2014,"Imran Tahir","Middle",128,88,5,22,8.73,0.3125,0.194690265486726,0.315510204081633,0.2144
2014,"Imran Tahir","Powerplay",7,7,0,1,6,0,0.00884955752212389,0.204081632653061,-0.0178
2014,"Iqbal Abdulla","Middle",9,6,0,1,9,0,0.00884955752212389,0.326530612244898,-0.03
2014,"Iqbal Abdulla","Powerplay",9,6,0,1,9,0,0.00884955752212389,0.326530612244898,-0.03
2014,"JA Morkel","Middle",19,18,1,10,6.33,0.0625,0.0884955752212389,0.217551020408163,0.0423
2014,"JA Morkel","Powerplay",108,83,3,30,7.81,0.1875,0.265486725663717,0.277959183673469,0.1644
2014,"JD Unadkat","Death",141,67,4,12,12.63,0.25,0.106194690265487,0.47469387755102,0.1344
2014,"JD Unadkat","Middle",71,60,4,18,7.1,0.25,0.15929203539823,0.248979591836735,0.1729
2014,"JD Unadkat","Powerplay",66,62,2,29,6.39,0.125,0.256637168141593,0.22,0.13
2014,"JDS Neesham","Middle",78,51,1,12,9.18,0.0625,0.106194690265487,0.333877551020408,0.036
2014,"JDS Neesham","Powerplay",18,6,0,2,18,0,0.0176991150442478,0.693877551020408,-0.0641
2014,"JH Kallis","Death",15,12,0,5,7.5,0,0.0442477876106195,0.26530612244898,-0.0133
2014,"JH Kallis","Middle",146,102,3,27,8.59,0.1875,0.238938053097345,0.309795918367347,0.1532
2014,"JH Kallis","Powerplay",32,20,1,7,9.6,0.0625,0.0619469026548673,0.351020408163265,0.021
2014,"JJ Bumrah","Death",128,86,3,18,8.93,0.1875,0.15929203539823,0.323673469387755,0.1279
2014,"JJ Bumrah","Middle",74,67,3,27,6.63,0.1875,0.238938053097345,0.229795918367347,0.1612
2014,"JJ Bumrah","Powerplay",105,93,0,47,6.77,0,0.415929203539823,0.235510204081633,0.1012
2014,"JO Holder","Middle",18,12,0,3,9,0,0.0265486725663717,0.326530612244898,-0.0247
2014,"JO Holder","Powerplay",17,8,1,3,12.75,0.0625,0.0265486725663717,0.479591836734694,-0.0025
2014,"JP Duminy","Death",25,12,0,1,12.5,0,0.00884955752212389,0.469387755102041,-0.0443
2014,"JP Duminy","Middle",175,149,3,39,7.05,0.1875,0.345132743362832,0.246938775510204,0.1913
2014,"JP Duminy","Powerplay",42,43,0,20,5.86,0,0.176991150442478,0.198367346938776,0.0333
2014,"JP Faulkner","Death",194,112,9,25,10.39,0.5625,0.221238938053097,0.383265306122449,0.3655
2014,"JP Faulkner","Middle",99,60,1,14,9.9,0.0625,0.123893805309735,0.363265306122449,0.0383
2014,"JP Faulkner","Powerplay",156,106,7,33,8.83,0.4375,0.292035398230089,0.319591836734694,0.3182
2014,"JW Hastings","Middle",3,6,1,4,3,0.0625,0.0353982300884956,0.0816326530612245,0.04
